"Jokes about Alec Baldwin aren't funny imo. Yeah he's a huge lib but the situation involves a dead woman &amp; mourning families. It just makes me sad to think about being in her family's situation.. losing someone &amp; then see it become a political joke. RIP to her❤ pray for her soul", Auth,Right
"NBA players refused to take the court last year after a rapist was arrested trying to stab police. But when Kyrie Irving gets segregated from his own team, no one cares. Maybe instead of getting the jab, Kyrie should jab somebody and then his teammates will support him.", Auth,Right
"Weird because my monoclonal antibody treatment was free  ‍♀️ ", Auth,Right
"Have you looked in the mirror? ", Auth,Right
"Christopher Columbus did nothing wrong", Auth,Right
"LET'S GO BRANDON!", Auth,Right
"There are people who have been in jail for the last 9 months for taking selfies in the Capitol while a school shooter gets released the next day. Anyone want to guess why?   ", Auth,Right
"I was at the airport &amp; my hubby offered to help two elderly people with their luggage. They chatted a bit, then they saw I had an "Arrest Dr. Fauci" t-shirt and acted like we weren't even human beings anymore. Why is our humanity determined by our level of obedience to Democrats?", Auth,Right
"Firing private citizens from their jobs for wrong-think and replacing them with the military is definitely what the founders had in mind for our country.", Auth,Right
"Sounds like something Hitler would say ", Auth,Right
"Just a crazy guess but maybe because a fever and chills are common symptoms in just about every other illness?   ", Auth,Right
"This! When I went to the doctor, they said there's no possible way to know which variant of COVID I had. When I asked how they know Delta is going around, he said they just assume it is but don't actually know. ", Auth,Right
"Dan Crenshaw, Madison Cawthorn, Matt Gaetz and 132 other House Republicans voted with the Democrats to pass federal red flag gun laws. Why even bother having a Republican Party when they just vote with the Democrats anyway?", Auth,Right
"My doctor told me I definitely don't need the vaccine now that I had covid. He said "Now you'll have great immunity." Someone should let "Dr." Fauci know what actual doctors are saying!", Auth,Right
"No matter which way you feel about the vaccine the fact is that even vaccinated people are still getting covid, which means if you care about saving lives you need to have a treatment plan too. This seems like it should be the plan. Thank you Ron DeSantis for being a leader!", Auth,Right
"@Fliparie @GovRonDeSantis You can't afford free?", Auth,Right
"I'm sorry to inform my haters on here that I recently had covid and survived. Thanks to the greatest Governor in the country @GovRonDeSantis, I was able to receive monoclonal antibodies and was better the next day. Why aren't we giving more attention to this treatment??", Auth,Right
"Happy birthday to America's Governor, @GovRonDeSantis! ", Auth,Right
"AOC around poor people vs. AOC around rich people ", Auth,Right
"We will #NeverForget ", Auth,Right
"I look forward to the 2024 election when after years of the Biden admin ruling as dictators and persecuting their enemies, they will still swear that it's Trump who's Hitler.", Auth,Right
"Do you miss him yet? ", Auth,Right
"It took less than one year for Democrats to go from "I'll never take the vaccine since Trump's funding it" to "if you don't take all 578 vaccines you shouldn't get to work, go out in public, or receive healthcare"", Auth,Right
"A President of the UNITED States is supposed to unite his country. Joe Biden promised peace and unity but has done the exact opposite since day one. Maybe we should start a new country and have a real leader like @GovRonDeSantis in charge.", Auth,Right
""Trump is a dictator" ", Auth,Right
"ARREST DR. FAUCI! Get this shirt at   before they're all gone! Use the promo code FREEDOM15 to get 15% off your entire order ", Auth,Right
"Fauci has lied about literally everything about COVID. But he's definitely telling the truth about vaccines and mask mandates!", Auth,Right
"This New Jersey family lost their home and barely made it out alive after floodwaters collapsed their basement wall and trapped them   Here is their GoFundMe if you wanted to help them get back on their feet!   ", Auth,Right
"Can we get you on board @GovRonDeSantis? ", Auth,Right
"Joe Biden ran his whole 2020 campaign on wanting to save lives, then leaves Americans to die in Afghanistan. Are you seeing through the lies yet?", Auth,Right
"Kristi Noem should resign as Governor of South Dakota and let someone who is actually willing to protect people's rights step in. Who agrees?", Auth,Right
"@govkristinoem @MattWalshBlog Why do you spend more time standing up to other conservatives online than you do standing up to the companies taking away people's rights in your state?", Auth,Right
"@govkristinoem @JoeBiden Think about this... if you have the ability to step down and let someone else lead who's willing to, then maybe you should.", Auth,Right
"Who else is old enough to remember when liberals said healthcare is a right?   ", Auth,Right
"I didn't think it was possible but Joe Biden has managed to destroy the world in just half a year. He should get a medal for that.", Auth,Right
"July 2021 was obviously hotter than 4 billion years ago   ", Auth,Right
"The "my body my choice" crowd sure has enjoyed telling people what to do with their bodies lately, huh? ", Auth,Right
"There was once a time when we protected children, since they are the most vulnerable among us. Now we muzzle their faces, expose them to gay sex from a young age, chemically castrate them, and in many cases kill them in the womb. Where did we go so wrong?", Auth,Right
"Big Tech will take down posts from doctors like Rand Paul for "medical disinformation" but leave up posts from gymnasts like Simone Biles saying a child in the womb isn't a life, which is medical disinformation that actually gets people killed.", Auth,Right
"@NikkiFried Speaking of "third-world dictator level dangerous", is this you?   ", Auth,Right
"Clearly we live in a country that takes health very seriously ", Auth,Right
"While Americans are being told we have to lockdown again, the Obamas are having huge maskless parties at their multi-million dollar mansion. Anyone who still pushes the covid paranoia is either a useless idiot or an evil person.", Auth,Right
"@MattWalshBlog I'd rather Ron stay Governor of Florida", Auth,Right
"If a Republican tweeted this they would be called a conspiracy theorist ", Auth,Right
"We went from "Trump is Hitler" to "throw everyone that disagrees with Democrats into the car" real quick   ", Auth,Right
"Here's a better idea. Stay home if you're scared and let all the normal people go about their business. ", Auth,Right
"Life is full of risks. You risk your life every time you wake up and get in the car. But guess what? You don't stop living your life. We shouldn't be shutting down the world because of fear.", Auth,Right
"Why are we still acting like coronavirus is the bubonic plague?", Auth,Right
"@MattWalshBlog If you think this is bad, you should see my other videos asking people when the War of 1812 was", Auth,Right
"Thank you @PitViperShades for making the official sunglasses of White Boy Summer. They go great with this hat from   ", Auth,Right
"It took just 8 years to go from the Obama admin denying that they spy on our cell phone data to the Biden admin nonchalantly saying they'll fact-check our text messages. But hey, Trump was the Nazi, right?", Auth,Right
"The media wants you to believe Cubans are so terrified of COVID that they're organizing mostly maskless mass gatherings to protest vaccine shortages. Makes sense if you don't think about it. ", Auth,Right
"That's a man and his name is Bruce ", Auth,Right
"@TomiLahren @Caitlyn_Jenner *He", Auth,Right
"Cubans: "We want freedom. Communism sucks." Media: "Cubans protest vaccine shortages" WTF ", Auth,Right
"Ron DeSantis &gt; Kristi Noem Who agrees?", Auth,Right
"@ElijahSchaffer @ZTPetrizzo Nick Fuentes isn't allowed at CPAC but this maniac who sounds like he's going through puberty at age 27 can roam freely to lie about &amp; dox attendees. Wow I love conservatism ", Auth,Right
"Free Nick Fuentes", Auth,Right
"Libs 2 years ago: "No, we don't want predators going in the women's room. We just want trans people to use whatever bathroom makes them conformable." Libs today: "So what if that WOMAN had HER penis out in front of a six year old in the bathroom. What are you, a transphobe?"", Auth,Right
"Hello @chrishansen, I'd like you to meet the New York Times. ", Auth,Right
"The people who called Trump a Nazi are now implementing a door-to-door eugenics program less than 6 months after taking office. Let that sink in.", Auth,Right
"The government doesn't go door-to-door to tell fat people to lose weight or to tell people to stop smoking, but they'll go door-to-door to tell you to take a vaccine for a virus with 99% survivability? Weird. ", Auth,Right
"Now that it's July, we can fly the only flag that matters    ", Auth,Right
"Who shot Ashli Babbit?", Auth,Right
"Meanwhile all 30 MLB stadiums promoted gay pride this month, put BLM on the bases last year, and let players kneel for the anthem. Political statements are only banned from the @MLB when it's ones Democrats disagree with. ", Auth,Right
"The same NSA that years ago lied about spying on American citizens wants you to know they're definitely telling the truth this time about spying on Tucker Carlson", Auth,Right
"This is what mental illness looks like ", Auth,Right
"Enjoy the long weekend!", Auth,Right
"Gee there sure are a lot of "suicides" linked to the Clintons, aren't there?", Auth,Right
"All the doctors that challenged the status quo last year wound up being right. Dr. Fauci wound up being wrong. Democrats destroyed the country and ruined countless lives over a lie. Shocker!", Auth,Right
"These Democrats were completely SHOCKED to find out these immigration quotes weren't said by Trump, but by Kamala Harris!  Watch the full video:   ", Auth,Right
"@MattWalshBlog The law of gravity ", Auth,Right
"Get a load of this. Twitter flagged my wedding video for "potentially sensitive content." Isn't that ironic this month! A happy straight couple getting married is sensitive content, but teaching kids about gay sex and masturbation isn’t   ", Auth,Right
"After a whole year of waiting we FINALLY got to have the wedding celebration we wanted. Here's a sneak peak at our wedding film, which couldn't have come out any more perfect!   You can watch the full film here:   ", Auth,Right
"@Timcast "She shouldn't have been wearing a skirt and walking down that alley at night"", Auth,Right
""The typical mask you buy in the drug store is not really effective in keeping out virus, which is small enough to pass through material. I do not recommend that you wear a mask." - Dr. Anthony Fauci", Auth,Right
"The fact that New York and New Jersey now have more freedom than Ohio, a "red" state, tells you everything you need to know about @MikeDeWine. This loser's got to go!", Auth,Right
"@AOC It's Trump's fault that you couldn't send her a few hundred dollars? Why do you hate your grandma? ", Auth,Right
"You never had to wear masks. They never did anything for you. Fauci knew this but told the public otherwise. At this point you're an idiot if you still choose to wear one, and may as well walk around with a helmet too.", Auth,Right
"Dr. Fauci should be in JAIL! Who agrees?", Auth,Right
"Still the best thing COVID ever did for us ", Auth,Right
